index,file_name,category,roi_found,success,dim,reason
0,001_0004.png,1,True,True,1764,
1,002_0036.png,2,True,True,1764,
2,005_0030.png,5,True,True,1764,
3,020_0003.png,20,True,True,1764,
4,020_0004.png,20,True,True,1764,
5,020_0006.png,20,True,True,1764,
6,021_0003.png,21,True,True,1764,
7,021_0002_j.png,21,True,True,1764,
8,027_0002.png,27,True,True,1764,
9,031_0011.png,31,True,True,1764,
10,038_0008.png,38,True,True,1764,
11,042_0002_j.png,42,True,True,1764,
12,046_0005_j.png,46,True,True,1764,
13,047_0002.png,47,True,True,1764,
14,047_0005.png,47,True,True,1764,
15,020_0002_j.png,20,True,True,1764,
16,021_0004_j.png,21,True,True,1764,
17,042_0016_j.png,42,True,True,1764,
18,051_0005_j.png,51,True,True,1764,
19,057_0003_j.png,57,True,True,1764,
20,011_0029.png,11,True,True,1764,
21,013_0013.png,13,True,True,1764,
22,021_0004.png,21,True,True,1764,
23,022_0005.png,22,True,True,1764,
24,027_0010.png,27,True,True,1764,
25,027_0012.png,27,True,True,1764,
26,028_0202.png,28,True,True,1764,
27,037_0019.png,37,True,True,1764,
28,037_0021.png,37,True,True,1764,
29,040_0011.png,40,True,True,1764,
30,048_0004.png,48,True,True,1764,
31,000_1_0002.png,0,True,True,1764,
32,000_1_0013.png,0,True,True,1764,
33,000_1_0018.png,0,True,True,1764,
34,000_1_0034.png,0,True,True,1764,
35,001_1_0009.png,1,True,True,1764,
36,002_1_0010.png,2,True,True,1764,
37,003_1_0034.png,3,True,True,1764,
38,004_1_0020.png,4,True,True,1764,
39,005_1_0027.png,5,True,True,1764,
40,007_1_0006.png,7,True,True,1764,
41,012_1_0015.png,12,True,True,1764,
42,014_1_0028.png,14,True,True,1764,
43,015_1_0001.png,15,True,True,1764,
44,016_1_0014.png,16,True,True,1764,
45,017_1_0017.png,17,True,True,1764,
46,023_1_0003.png,23,True,True,1764,
47,023_1_0004.png,23,True,True,1764,
48,024_1_0016.png,24,True,True,1764,
49,024_1_0017.png,24,True,True,1764,
50,026_1_0016.png,26,True,True,1764,
51,028_1_0007.png,28,True,True,1764,
52,030_1_0002.png,30,True,True,1764,
53,030_1_0023.png,30,True,True,1764,
54,032_1_0001_1_j.png,32,True,True,1764,
55,032_1_0002_1_j.png,32,True,True,1764,
56,033_1_0001.png,33,True,True,1764,
57,034_1_0002.png,34,True,True,1764,
58,034_1_0003_1_j.png,34,True,True,1764,
59,035_1_0002.png,35,True,True,1764,
60,035_1_0003.png,35,True,True,1764,
61,035_1_0004.png,35,True,True,1764,
62,037_1_0009.png,37,True,True,1764,
63,043_1_0021.png,43,True,True,1764,
64,045_1_0004.png,45,True,True,1764,
65,045_1_0009.png,45,True,True,1764,
66,047_1_0003.png,47,True,True,1764,
67,049_1_0010.png,49,True,True,1764,
68,050_1_0003.png,50,True,True,1764,
69,055_1_0031.png,55,True,True,1764,
70,056_1_0010.png,56,True,True,1764,
71,008_1_0008_1_j.png,8,True,True,1764,
72,023_1_0002_1_j.png,23,True,True,1764,
73,030_1_0018_1_j.png,30,True,True,1764,
74,052_1_0008_1_j.png,52,True,True,1764,
75,010_1_0013.png,10,True,True,1764,
76,011_1_0019.png,11,True,True,1764,
77,023_1_0005.png,23,True,True,1764,
78,028_1_0216.png,28,True,True,1764,
79,029_1_0015.png,29,True,True,1764,
80,031_1_0020.png,31,True,True,1764,
81,036_1_0014.png,36,True,True,1764,
82,036_1_0016.png,36,True,True,1764,
83,036_1_0019.png,36,True,True,1764,
